"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Cyclobalanopsis_nubium",-0.0643667081198032,-0.0677559309471677,0.552357447040462,0.555755346746279
"Cymbopogon",0.949292065981816,0.919898094833175,0.439019626672908,0.445517466541727
"Cymbopogon_citratus",1.23244083039313,1.21295850478462,0.417112306387362,0.421206069921457
"Cynanchum_chinense",2.70727870573768,2.67773869745634,0.419373641102533,0.432701089808854
"Cynanchum_komarovii",2.27324346532019,2.25082732504566,0.419373641102528,0.423302421069963
"Cyperus_eragrostis",1.63700746726929,1.59458001887221,0.539455414307693,0.551640291701624
"Cyperus_fendlerianus",0.274493790535438,0.244292115333167,0.500107462911575,0.499475926015235
"Cytisus_proliferus",2.00603128530513,1.98282167571699,0.497974347055902,0.505602056426904
"Cytisus_scoparius",1.32612358629244,1.30310014871395,0.426913479874935,0.430630321857179
"Dacrycarpus_dacrydioides",1.03739876766914,0.996385725003691,0.514809714186414,0.495665337983138
"Dacrycarpus_vieillardii",0.140846717572346,0.105528733136171,0.506037810038738,0.520676989716334
"Dacrydium_cupressinum",0.419129152150492,0.380149661471686,0.416898331421367,0.409821587072181
"Dactylis_glomerata",1.46709599069381,1.43894012954676,0.395096416381524,0.398112481628754
"Dalea_polygonoides",2.02700599941365,1.995041626716,0.500107462911555,0.49568196939309
"Danthonia_decumbens",0.747648502936212,0.728894177408206,0.489252112940064,0.477450307546273
"Danthonia_montevidensis",0.962453829583961,0.946923639860391,0.531919216368877,0.536921857013579
"Daphniphyllum_pentandrum",1.83167901219847,1.82577093209116,0.552357447040479,0.545626838798892
"Dasiphora_fruticosa",0.0743917282227212,0.0678647029518479,0.54063417695438,0.532216519457919
"Datura_stramonium",2.93198885029687,2.89218772114484,0.494255004448809,0.481882947486207
"Dendrocalamus_albostriatus",0.799160243913383,0.773768904815815,0.417112306387365,0.423474835668239
"Dendrocalamus_barbatus",0.756874105549835,0.734911236235979,0.417112306387364,0.417623114540981
"Dendrocalamus_calostachyus",0.730293760309219,0.721196536504024,0.498233923470896,0.492067870787852
"Dendrocalamus_giganteus",0.696965188244571,0.686849288509169,0.498233923470902,0.504298554856836
"Dendrocalamus_hamiltonii",0.633200813059016,0.611096151888189,0.417112306387366,0.409465057120814
"Dendrocalamus_latiflorus",0.915827959644233,0.903533352846223,0.417112306387356,0.420106843464543
"Dendrocalamus_minor",1.1428656539486,1.1343357422526,0.499638800140337,0.516671523076831
"Dendrocalamus_peculiaris",0.744693128248543,0.715456887205533,0.417112306387361,0.418000843716538
"Dendrocalamus_semiscandens",0.841298219761428,0.819712403624494,0.417112306387365,0.428920234462859
"Dendrocalamus_sikkimensis",0.869318559844573,0.859996628943555,0.417112306387359,0.41898329145754
"Dendrocalamus_sinicus",0.695623812834044,0.669297860346568,0.498233923470899,0.497299774286911
